Time,Emotion
21:29:41,surprise
21:29:41,neutral
21:29:41,surprise
21:29:41,surprise
21:29:41,surprise
21:29:41,surprise
21:29:41,surprise
21:29:41,fear
21:29:42,surprise
21:29:42,angry
21:29:42,angry
21:29:42,surprise
21:29:42,surprise
21:29:42,surprise
21:29:42,surprise
21:29:42,surprise
21:29:42,fear
21:29:42,fear
21:29:42,surprise
21:29:42,fear
21:29:42,fear
21:29:43,fear
21:29:43,neutral
21:29:43,sad
21:29:43,neutral
21:29:43,fear
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,neutral
21:29:43,sad
21:29:44,fear
21:29:44,happy
21:29:44,fear
21:29:44,surprise
21:29:44,surprise
21:29:44,fear
21:29:44,fear
21:29:44,surprise
21:29:45,surprise
21:29:45,surprise
21:29:45,surprise
21:29:45,fear
21:29:45,fear
21:29:45,neutral
21:29:45,surprise
21:29:45,surprise
21:29:46,disgust
21:29:46,disgust
21:29:46,neutral
21:29:46,neutral
21:29:46,angry
21:29:46,angry
21:29:46,neutral
21:29:47,neutral
21:29:47,disgust
21:29:47,disgust
21:29:47,disgust
21:29:47,fear
21:29:47,fear
21:29:48,neutral
21:29:48,neutral
21:29:48,fear
21:29:48,fear
21:29:48,fear
21:29:48,fear
21:29:48,surprise
21:29:52,surprise
21:29:52,surprise
21:29:52,surprise
21:29:52,surprise
21:29:52,surprise
21:29:52,neutral
21:29:52,neutral
21:29:52,happy
21:29:52,happy
21:29:53,happy
21:29:53,happy
21:29:53,happy
21:29:53,neutral
21:29:53,neutral
21:29:54,neutral
21:29:54,neutral
21:29:54,neutral
21:29:54,neutral
21:29:54,happy
21:29:54,happy
21:29:54,happy
21:29:54,happy
21:29:54,happy
21:29:54,happy
21:29:54,happy
21:29:55,neutral
21:29:55,neutral
21:29:55,neutral
21:29:55,neutral
21:29:55,happy
21:29:55,happy
21:29:56,happy
21:29:56,angry
21:29:56,happy
21:29:56,happy
21:29:56,angry
21:29:56,angry
21:29:56,fear
21:29:56,fear
21:29:56,fear
21:29:56,angry
21:29:56,angry
21:29:56,angry
21:29:56,happy
21:29:56,fear
21:29:56,surprise
21:29:56,fear
21:29:56,fear
21:29:56,fear
21:29:57,fear
21:29:57,fear
21:29:57,angry
21:29:57,angry
21:29:57,angry
21:29:57,angry
21:29:57,fear
21:29:57,angry
21:29:57,angry
21:29:57,fear
21:29:57,happy
21:29:57,happy
21:29:57,happy
21:29:57,happy
21:29:57,surprise
21:29:57,happy
21:29:57,happy
21:29:57,happy
21:29:58,happy
21:29:58,happy
21:29:58,happy
21:29:58,happy
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:58,surprise
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:58,fear
21:29:59,fear
21:29:59,fear
21:29:59,fear
21:30:00,neutral
21:30:00,neutral
21:30:00,happy
21:30:00,happy
21:30:00,neutral
21:30:00,happy
21:30:00,happy
21:30:00,happy
21:30:00,happy
21:30:00,neutral
21:30:00,neutral
21:30:00,neutral
21:30:00,neutral
21:30:00,neutral
21:30:00,neutral
21:30:00,neutral
21:30:01,happy
21:30:01,happy
21:30:01,fear
21:30:01,fear
21:30:02,angry
21:30:02,angry
21:30:02,neutral
21:30:02,neutral
21:30:03,neutral
21:30:03,neutral
21:30:03,neutral
21:30:03,neutral
21:30:03,disgust
21:30:03,disgust
21:30:04,neutral
21:30:04,neutral
21:30:04,angry
21:30:04,angry
21:30:04,angry
21:30:04,angry
21:30:05,neutral
21:30:05,neutral
21:30:05,angry
21:30:05,angry
21:30:05,neutral
21:30:05,neutral
21:30:05,neutral
21:30:06,angry
21:30:06,angry
21:30:06,angry
21:30:06,angry
21:30:06,angry
21:30:06,angry
21:30:06,happy
21:30:06,neutral
21:30:06,neutral
21:30:07,neutral
21:30:07,fear
21:30:07,fear
21:30:07,happy
21:30:07,happy
21:30:07,neutral
21:30:07,neutral
21:30:07,fear
21:30:07,fear
21:30:07,neutral
21:30:07,neutral
21:30:08,surprise
21:30:08,surprise
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:08,neutral
21:30:08,neutral
21:30:08,happy
21:30:08,happy
21:30:08,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,happy
21:30:09,surprise
21:30:09,surprise
21:30:09,happy
21:30:09,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:10,happy
21:30:11,neutral
21:30:11,neutral
21:30:11,happy
21:30:11,happy
21:30:11,happy
21:30:11,happy
21:30:11,happy
21:30:11,happy
21:30:11,happy
21:30:11,happy
21:30:11,neutral
21:30:11,neutral
21:30:11,neutral
21:30:11,neutral
21:30:11,neutral
21:30:11,neutral
21:30:11,neutral
21:30:12,neutral
21:30:12,neutral
21:30:12,neutral
21:30:12,neutral
21:30:12,neutral
21:30:12,neutral
21:30:12,fear
21:30:12,fear
21:30:12,fear
21:30:12,fear
21:30:12,neutral
21:30:12,neutral
21:30:14,angry
21:30:14,angry
21:30:14,neutral
21:30:14,neutral
21:30:14,neutral
21:30:14,neutral
21:30:14,neutral
21:30:14,angry
21:30:14,happy
21:30:14,happy
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,neutral
21:30:15,happy
21:30:16,neutral
21:30:16,neutral
21:30:16,happy
21:30:16,neutral
21:30:16,happy
21:30:16,neutral
21:30:16,neutral
21:30:16,neutral
21:30:16,neutral
21:30:16,fear
21:30:16,neutral
21:30:16,neutral
21:30:16,surprise
21:30:16,surprise
21:30:17,neutral
21:30:17,neutral
21:30:17,surprise
21:30:17,happy
21:30:17,angry
21:30:17,angry
21:30:17,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:18,angry
21:30:19,surprise
21:30:19,fear
21:30:19,fear
